연번,의료기관명,주소,전화번호
264,로하스이비인후과의원,(35203) 대전광역시 서구 대덕대로 396 9층 901호 (만년동),042-476-1717
265,루크소아청소년과의원,"(34127) 대전광역시 유성구 죽동로297번길 72 3층 (죽동, KJ빌딩)",042-861-7900
266,류마내과의원,(34909) 대전광역시 중구 계백로 1693 3층 (오류동),042-523-2322
267,류상열재활의학과의원,"(35214) 대전광역시 서구 청사서로 36 2층 (월평동, 몽암빌딩)",042-488-7525
268,류진희산부인과의원,(34909) 대전광역시 중구 계백로 1715 1동 304호 (오류동),042-535-9711
269,류태희신경외과의원,"(35310) 대전광역시 서구 동서대로 1147 3층 (가장동, 온누리클리닉)",042-366-7775
270,르네이비인후과의원,(34121) 대전광역시 유성구 대덕대로 582 옥토빌딩 502호 (도룡동),042-861-3300
271,만석의원,(35387) 대전광역시 서구 계백로1158번길 7-11 (가수원동),042-542-7575
272,맑은눈안과의원,"(35209) 대전광역시 서구 한밭대로 745 지하1층,지하2층 (둔산동)",042-476-0075
273,맑은성모이비인후과의원,(34195) 대전광역시 유성구 동서대로 685 201호 (원신흥동),042-822-5075
274,맑은의원,"(35241) 대전광역시 서구 둔산중로 38 209호 (둔산동, 메트로존빌딩)",042-286-2286
275,맑은이비인후과의원,"(35378) 대전광역시 서구 관저중로 98 리틀파워존 2층 204, 205호 (관저동)",042-544-1175
276,맑음내과의원,"(34885) 대전광역시 중구 태평로 71 404호 (태평동, 삼부프라자)",042-331-7575
277,맘편안의원,(34892) 대전광역시 중구 유천로132번길 37 2층 (태평동),042-538-7777
278,메덴스연합의원,"(34895) 대전광역시 중구 평촌로 111 202호 (태평동, 태평상가)",042-525-7585
279,메디벨의원,(35230) 대전광역시 서구 대덕대로 197 8층 (둔산동),042-488-6211
280,메디안내과의원,"(34086) 대전광역시 유성구 노은로 170 스타시티 207호, 208호, 301호 307호 (지족동)",042-867-8275
281,메디포맨남성의원,(34626) 대전광역시 동구 대전로 812 2층 (정동),042-638-9696
282,메디힐의원,"(34049) 대전광역시 유성구 엑스포로 488 5층 1-1-3호 (전민동, 엑스포코아)",042-861-5007
283,메이드유의원,(35229) 대전광역시 서구 둔산로31번길 10-23 4층 (둔산동),042-638-7582
284,메트로신경외과의원,(34629) 대전광역시 동구 대전로 792 2층 (중동),042-222-7570
285,멘파워비뇨기과의원,(35230) 대전광역시 서구 대덕대로 199 3층 (둔산동),042-472-3690
286,명내과의원,(34543) 대전광역시 동구 계족로 478 (용전동),042-635-3036
287,명안과의원,"(35214) 대전광역시 서구 청사로 121 4,6층 (월평동)",042-486-2341
288,명쾌한내과의원,(34168) 대전광역시 유성구 대학로 11 지상 4층 (봉명동),042-822-1368
289,모담의원,"(35368) 대전광역시 서구 계백로 1141 3,4층 303호, 401호 (가수원동)",042-716-3363
290,모델라인의원,(35234) 대전광역시 서구 둔산로 52 6층 (둔산동),042-484-4969
291,모정욱재활의학과의원,(35241) 대전광역시 서구 문예로 43 7층 (둔산동),042-489-2040
292,모태산부인과의원,"(35230) 대전광역시 서구 대덕대로 191 1,2,3,4,5층 (둔산동)",042-472-0080
293,모태소아청소년과의원,(35230) 대전광역시 서구 대덕대로 189 5층 (둔산동),042-483-7551
294,모태소아청소년과의원,(35230) 대전광역시 서구 대덕대로 189 5층 (둔산동),042-483-7551
295,무지개내과의원,(34908) 대전광역시 중구 계룡로 858 2층 (오류동),042-536-5575
296,무지개홈닥터의원,(34317) 대전광역시 대덕구 대덕대로 1556 (석봉동),042-935-3511
297,문내과의원,(34892) 대전광역시 중구 유천로142번길 6 (태평동),042-533-5402
298,문현웅내과의원,(34319) 대전광역시 대덕구 석봉로38번길 67 (석봉동),042-933-7585
299,문화연세의원,(35014) 대전광역시 중구 당디로6번길 66 (문화동),042-585-7572
300,뮤즈의원,(35229) 대전광역시 서구 대덕대로 229 명화빌딩 7층 (둔산동),042-1544-4218
301,미델의원,(35382) 대전광역시 서구 관저중로 72 2층 (관저동),042-716-2356
302,미라클의원,"(35241) 대전광역시 서구 둔산로 130 407호 (둔산동, 대덕프라자)",042-489-1400
303,미래성형외과의원,(35264) 대전광역시 서구 계룡로 595 GOLD BANK gold 4층 (탄방동),042-524-4720
304,미래이비인후과의원,(34572) 대전광역시 동구 동서대로 1688 (성남동),042-633-8275
305,미래재활의학과의원,(34384) 대전광역시 대덕구 중리북로 4 (법동),042-638-7500
306,미래정신건강의학과의원,(34422) 대전광역시 대덕구 계족산로 2 3층 (중리동),042-636-8575
307,미래정형외과의원,(34019) 대전광역시 유성구 테크노4로 141 (관평동),042-671-0075
308,미쁜의원,"(34695) 대전광역시 동구 동구청로 95 3층 301호 (가오동, 예시티)",042-286-7500
309,미소가득한내과의원,"(35233) 대전광역시 서구 대덕대로 226 5,6(일부)층 (둔산동)",042-472-1090
310,미소가정의학과의원,(34182) 대전광역시 유성구 월드컵대로 275-39 (구암동),042-823-7582
311,미소담의원,(34832) 대전광역시 중구 중앙로 159 2층 (은행동),042-224-8800
312,미소소아청소년과의원,(34068) 대전광역시 유성구 반석로 16 반석크리닉빌딩 5층 (반석동),042-826-7588
313,미소안의원,(34524) 대전광역시 동구 용운로 163 (용운동),042-283-2329
314,미소이비인후과의원,(35263) 대전광역시 서구 문정로 96 2층 201호 (탄방동),042-482-5338
315,미소재활의학과의원,"(34663) 대전광역시 동구 동부로73번길 6 5층 (판암동, 성창프라자)",042-271-7977
316,미소찬이비인후과의원,"(34018) 대전광역시 유성구 테크노4로 105 (관평동, 306호,307호)",042-671-9977
317,미애로여성의원,(35240) 대전광역시 서구 둔산로 121 3층 (둔산동),042-471-7558
318,미엘성형외과의원,(35234) 대전광역시 서구 대덕대로 198 6층 (둔산동),042-489-0099
319,미의원,"(34169) 대전광역시 유성구 계룡로 55 (봉명동, 401~405호)",042-716-0010
320,미의원,"(35230) 대전광역시 서구 둔산로 34 씨엔씨타워 502,503호 (둔산동)",
321,미즈모아산부인과의원,(35382) 대전광역시 서구 관저로 158 (관저동),042-543-9900
322,미즈소아청소년과의원,(35262) 대전광역시 서구 문정로48번길 58 5층 (탄방동),042-483-7555
323,미즈아이소아청소년과의원,"(35262) 대전광역시 서구 문정로2번길 95 3층 (탄방동, 주안빌딩)",042-489-7580
324,미즈의원,"(35262) 대전광역시 서구 문정로2번길 95 2층 (탄방동, 주안빌딩)",042-488-2255
325,미탐의원,(35230) 대전광역시 서구 대덕대로 197 (둔산동),042-489-1175
326,미하이의원,"(34189) 대전광역시 유성구 계룡로 150 4층 401호 (봉명동, 코젤병원 건물내)",042-825-8833
327,민가정의학과의원,(34704) 대전광역시 동구 산내로 1317 (낭월동),042-274-7582
328,민들레안과의원,(34610) 대전광역시 동구 동대전로 81 (대동),042-632-0082
329,민들레의료복지사회적협동조합민들레의원,(34383) 대전광역시 대덕구 계족로663번길 26 1층 (법동),042-638-9012
330,민들레제일안과의원,(34909) 대전광역시 중구 계백로 1715 501호 (오류동),042-256-5162
331,민이비인후과의원,"(35032) 대전광역시 중구 대종로 310 402호 (부사동, 동양빌딩)",042-222-8768
332,민재활의학과의원,"(34019) 대전광역시 유성구 테크노4로 133 V샤르망 5,6,7층 502,601,701호 (관평동)",042-936-7588
333,밀알의료소비자생활협동조합새로본의원,(35321) 대전광역시 서구 도산로 227 1동 지하1층~지상5층 (변동),042-534-7575
334,바른몸의원,"(34401) 대전광역시 대덕구 동춘당로94번길 11-21 송촌은혜프라자 2,5,6층 (송촌동)",042-719-7577
335,바른손외과의원,(35023) 대전광역시 중구 보문로 78 (부사동),042-253-0357
336,바른정형외과의원,"(34508) 대전광역시 동구 동대전로 270 2층,4층 (가양동)",042-633-3114
337,박가정의학과의원,(34973) 대전광역시 중구 계백로 1592 2층 202호 (유천동),042-585-7500
338,박기서내과의원,(34814) 대전광역시 중구 목중로 12 (중촌동),042-253-2181
339,박만수비뇨기과의원,(34406) 대전광역시 대덕구 계족산로5번길 115 2층 (법동),042-631-1369
340,박붕연내과의원,(34068) 대전광역시 유성구 반석로 23 (반석동),042-825-4375
341,박비뇨기과의원,(35234) 대전광역시 서구 대덕대로176번길 9 8층 (둔산동),042-489-7177
342,박상철신경과의원,(35240) 대전광역시 서구 문예로 65 5층 (둔산동),042-485-7669
343,박승억내과의원,(35256) 대전광역시 서구 탄방로7번길 65 2층 (탄방동),042-472-5822
344,박안과의원,(35402) 대전광역시 서구 계백로 1440 2층 (도마동),042-583-8922
345,박언우이비인후과의원,(35250) 대전광역시 서구 문정로 174 2층 (둔산동),042-485-0666
346,박이비인후과의원,(34815) 대전광역시 중구 동서대로 1403 (목동),042-255-3333
347,박이비인후과의원,(34815) 대전광역시 중구 동서대로 1403 2층 (목동),042-255-3333
348,박인수내과의원,(34974) 대전광역시 중구 계백로 1568 (유천동),042-582-5895
349,박재활의학과의원,(34593) 대전광역시 동구 우암로 172 (성남동),042-635-5764
350,박준철내과의원,(35230) 대전광역시 서구 대덕대로 199 3층 (둔산동),042-483-8275
351,박중진내과의원,(34625) 대전광역시 동구 대전천동로 576 (중동),042-252-3000
352,박찬권내과의원,(34663) 대전광역시 동구 동부로73번길 6 (판암동),042-285-3055
353,박쾌종소아과의원,(34052) 대전광역시 유성구 엑스포로 481 (전민동),042-862-7575
354,박하신소아과의원,(34008) 대전광역시 유성구 봉산로 27 (송강동),042-934-1887
355,박훈영내과의원,(35335) 대전광역시 서구 도산로 51 2층 (도마동),042-525-8247
356,박흥수신경정신과의원,(35264) 대전광역시 서구 계룡로 605 6층 (탄방동),042-252-1523
357,반도정형외과의원,(34390) 대전광역시 대덕구 계족로 587 (중리동),042-631-0091
358,반석내과영상의학과의원,"(34068) 대전광역시 유성구 반석로 16 6,9층 (반석동, 반석크리닉빌딩)",042-826-1800
359,반석마취통증의학과의원,"(34068) 대전광역시 유성구 반석로 9 더존타워 2층 201,202호 (반석동)",042-721-7522
360,반석이비인후과의원,(34068) 대전광역시 유성구 반석로 16 (반석동),042-826-8877
361,배재누리정형외과의원,(35328) 대전광역시 서구 배재로 196 1층 (도마동),042-488-6701
362,배재지안이비인후과의원,(35344) 대전광역시 서구 배재로 175 3층 (도마동),042-721-7559
363,백낙천신경과의원,(35401) 대전광역시 서구 도산로 45 502호 (도마동),042-583-5969
364,백세성모정형외과의원,(35311) 대전광역시 서구 도산로 286 (가장동),042-716-0119
365,백제정형외과의원,(35033) 대전광역시 중구 보문로 35 (문창동),042-285-7575
366,버드내내과의원,"(34890) 대전광역시 중구 태평로 15 307호 (태평동, 버드내상가)",042-536-8276
367,버드내정신건강의학과의원,(34966) 대전광역시 중구 계백로 1600 3층 302호 (유천동),042-721-1400
368,법동한빛소아과의원,"(34383) 대전광역시 대덕구 계족로 667 3층 (법동, 282-3 대덕빌딩)",042-631-7585
369,베스트이비인후과의원,"(34401) 대전광역시 대덕구 동춘당로94번길 11-21 401호 (송촌동, 송촌은혜프라자)",042-639-5959
370,벨라의원,(34906) 대전광역시 중구 오류로 31 서대전역우방아이유쉘스카이팰리스 103동 209호 (오류동),042-522-5554
371,벨라쥬여성의원,(35229) 대전광역시 서구 둔산로31번길 38 우전빌딩 3층 (둔산동),042-471-0030
372,변동성모의원,"(35317) 대전광역시 서구 도산로 196 1,2층 (변동)",042-532-5975
373,별이성형외과의원,"(34179) 대전광역시 유성구 계룡로 92 2층 227호 (봉명동, 유성CJ나인파크)",042-335-5816
374,보건의원,(34914) 대전광역시 중구 중앙로138번길 25 5층 (대흥동),042-223-5336
375,보경미의원,(34018) 대전광역시 유성구 테크노4로 105 (관평동),042-933-7572
376,보니엘의원,"(35230) 대전광역시 서구 대덕대로 203 9층 (둔산동, 둔산미래빌딩)",042-488-1600
377,보다안과의원,(35241) 대전광역시 서구 둔산중로 50 파이낸스빌딩 5층 (둔산동),042-528-0079
378,복음내과의원,(35250) 대전광역시 서구 문정로 178 2층 (둔산동),042-483-9216
379,본이비인후과의원,"(34305) 대전광역시 대덕구 대덕대로 1591-1 2층 (석봉동, 로하스빌딩)",042-933-9975
380,본정형외과의원,"(35012) 대전광역시 중구 보문산로 61 2,4층 (산성동)",042-587-8275
381,봄소아청소년과의원,(35382) 대전광역시 서구 구봉로 125 스카이프라자 204호(관저동),042-825-7580
382,부라보성형외과의원,(35268) 대전광역시 서구 계룡로 550 3층 (괴정동),042-528-9000
383,분도내과의원,(34019) 대전광역시 유성구 테크노4로 137 (관평동),042-936-7171
384,뷰라인의원,(34695) 대전광역시 동구 은어송로 58 글로리타워 2층 (가오동),042-272-5007
385,뷰라인의원,(34695) 대전광역시 동구 은어송로 58 글로리타워 2층 (가오동),042-272-5007
386,브이유의원,(35229) 대전광역시 서구 대덕대로233번길 36 라온채빌딩 3층 (둔산동),042-484-1131
387,비엔엠정신과의원,"(34401) 대전광역시 대덕구 동춘당로94번길 11-7 3층 303호 (송촌동, 광혜빌딩)",042-635-3455
388,비엔피신경과의원,(34188) 대전광역시 유성구 계룡로132번길 10 2층 209호 (봉명동),042-522-8287
389,비엠엘의원,(34187) 대전광역시 유성구 계룡로141번길 30-12 (봉명동),042-719-8888
390,빈기태내과의원,(34524) 대전광역시 동구 용운로 161 (용운동),042-283-2596
391,사)대한산업보건협회부설충남의원,(34301) 대전광역시 대덕구 대덕대로 1403 1층 (문평동),042-933-3200
392,사)한국건강관리협회건강증진의원,(35264) 대전광역시 서구 계룡로 611 (탄방동),042-532-9890
393,사)한국한센복지협회대전충남지부부설복지의원,(34354) 대전광역시 대덕구 대전로 1424 (읍내동),042-626-2765
394,사단법인경찰공제회대전의원,(34711) 대전광역시 동구 산서로1660번길 90 (대별동),042-271-8620
395,사단법인대한결핵협회대전세종충남지부부설복십자의원,(34931) 대전광역시 중구 충무로 145 대한결핵협회 (부사동),042-349-9890
396,사랑으로의원,(34182) 대전광역시 유성구 월드컵대로275번길 39 2층 (구암동),042-826-5621
397,사회복지법인 척척의원,(34695) 대전광역시 동구 은어송로 56 3층 (가오동),042-721-7582
398,사회복지법인 한밭복지재단 한밭연세의원,(34908) 대전광역시 중구 계룡로 846 4층 (오류동),042-528-2797
399,사회복지법인한사랑복지재단한마음의원,(35061) 대전광역시 중구 대종로 203 2층 (석교동),042-285-7755
400,삼부의원,"(34885) 대전광역시 중구 태평로 83 2층 (태평동, 삼부스포렉스)",042-533-7713
401,삼성공감정신건강의학과의원,(34086) 대전광역시 유성구 노은로 166 계룡프라자 504호 (지족동),042-721-3456
402,삼성송암내과의원,"(35236) 대전광역시 서구 둔산북로 121 1층 101호 (둔산동, 아너스빌)",042-472-8809
403,삼성스마일안과의원,(35230) 대전광역시 서구 대덕대로 203 10층 (둔산동),042-476-0010
404,삼성외과의원,"(35234) 대전광역시 서구 대덕대로176번길 9 6,7층 (둔산동)",042-361-5500
405,삼성우리내과의원,(34117) 대전광역시 유성구 신성남로 45 3층 301호 (신성동),042-863-7005
406,삼성의원,(34417) 대전광역시 대덕구 비래동로 37 (비래동),042-638-8575
407,삼성의원,"(34857) 대전광역시 중구 선화로 9 2,3,4층 (용두동)",042-253-5561
408,삼성이비인후과의원,(34553) 대전광역시 동구 동서대로 1629-6 2층 (홍도동),042-538-5004
409,삼성재활의학과의원,(35250) 대전광역시 서구 둔산로 228 2층 (둔산동),042-471-7500
410,삼성진비뇨의학과의원,(34629) 대전광역시 동구 대전로 782-1 2층 (원동),042-282-5975
411,삼성행복한내과의원,(34552) 대전광역시 동구 계족로 412 (용전동),042-637-3311
412,삼성흉부외과의원,(35230) 대전광역시 서구 대덕대로 183 2층 (둔산동),042-471-3075
413,상상의원,(35233) 대전광역시 서구 대덕대로 216 3층 303호 (둔산동),042-710-4002
414,상쾌한내과의원,(34909) 대전광역시 중구 계백로 1711-1 2층 (오류동),042-534-2075
415,상쾌한장사랑내과의원,(35335) 대전광역시 서구 도산로 63 도마정형외과 1층 (도마동),042-719-2077
416,새로운신경과의원,(34648) 대전광역시 동구 동대전로 80 4~5층 (대동),042-710-7722
417,새마음연합의원,"(35322) 대전광역시 서구 도산로 159 2층 (변동, 신성빌딩)",042-522-7075
418,새봄산부인과의원,(34009) 대전광역시 유성구 봉산로 23 (송강동),042-936-7500
419,새봄안과의원,(34188) 대전광역시 유성구 계룡로 114 BYC빌딩 7층 704호~707호호 (봉명동),042-826-2475
420,새봄의원,(34150) 대전광역시 유성구 갑동로25번길 53-28 (갑동),042-840-7975
421,새살로외과의원,(34188) 대전광역시 유성구 계룡로 120 4층 401호 (봉명동),042-710-8222
422,새서울내과영상의학과의원,"(34944) 대전광역시 중구 계룡로 901 1,2,3,4,별2층 (문화동)",042-255-5003
423,새송촌성모내과의원,"(34401) 대전광역시 대덕구 동춘당로94번길 11-15 302호 (송촌동, 송촌프라자)",042-621-8275
424,새순산부인과여성의원,(34168) 대전광역시 유성구 대학로 1 3층 (봉명동),042-825-0001
425,새아산부인과의원,(34306) 대전광역시 대덕구 신탄진로 847 (신탄진동),042-637-3535
426,새일의원,(34322) 대전광역시 대덕구 대덕대로1470번길 37 2층 (목상동),042-933-5050
427,샘머리성모소아청소년과의원,"(35205) 대전광역시 서구 청사로 281 3층 308호 (둔산동, 샘머리아파트2단지)",042-485-2220
428,생명사랑산부인과의원,"(35382) 대전광역시 서구 구봉로 139 밀리온2 201,202호 (관저동)",042-721-0810
429,샤인빔의원,(35233) 대전광역시 서구 대덕대로 216 4층 401호 (둔산동),
430,샤인톡스의원,(35233) 대전광역시 서구 대덕대로 226 명동프라자 8층 (둔산동),042-486-5600
431,서강의원,(35387) 대전광역시 서구 계백로1158번길 9 2층 (가수원동),042-541-1177
432,서대전속편한내과의원,(34944) 대전광역시 중구 중앙로 10 (문화동),042-221-2200
433,서부성모의원,(34980) 대전광역시 중구 대둔산로 470 (산성동),042-585-9500
434,서울가정의학과의원,(35321) 대전광역시 서구 변동로 49 (변동),042-531-9835
435,서울굿내과의원,(35378) 대전광역시 서구 관저로 157 하이존 2층 206호 (관저동),042-477-2000
436,서울내과의원,(34807) 대전광역시 중구 목중로54번길 50 2층 (중촌동),042-256-7585
437,서울내과의원,"(34628) 대전광역시 동구 대전로 787 2층, 3층 (중동)",042-257-1175
438,서울마취통증의학과의원,(35264) 대전광역시 서구 계룡로 605 5층 (탄방동),042-531-7168
439,서울본연세의원,"(34630) 대전광역시 동구 대흥로 197-10 1,2층 101,201호 (원동)",042-242-5656
440,서울봄영상의학과의원,(34188) 대전광역시 유성구 계룡로 114 8층 4호 (봉명동),042-826-0375
441,서울뷰의원,"(34185) 대전광역시 유성구 대학로 44 3층 301,302,303,304호 (봉명동)",1644-2033
442,서울비뇨기과의원,(34914) 대전광역시 중구 중앙로 136-1 2층 (대흥동),042-253-7582
443,서울삼성내과의원,"(35368) 대전광역시 서구 도안동로 3 5층 (가수원동, 리더스프라자)",042-542-2030
444,서울소아청소년과의원,"(34695) 대전광역시 동구 동구청로 89-2 8층 (가오동, 글로리타워 803호, 804호)",042-273-9114
445,서울수정신건강의학과의원,(35260) 대전광역시 서구 둔산남로 94 로고스빌딩 803호 (탄방동),042-477-7585
446,서울아산이비인후과의원,"(35382) 대전광역시 서구 구봉로 139 304,305,306,307호 (관저동)",042-543-5533
447,서울아산재활의학과의원,(34168) 대전광역시 유성구 대학로 9 3층 (봉명동),042-824-8815
448,서울안과의원,"(34018) 대전광역시 유성구 테크노4로 105 304,305호 (관평동)",042-934-7585
449,서울영상의학과의원,"(35261) 대전광역시 서구 문정로 30 지하1층,4층 (탄방동)",042-472-7501
450,서울예사랑내과의원,(35363) 대전광역시 서구 관저북로13번길 23-12 한빛빌딩 5층 (관저동),042-719-7588
451,서울현정형외과의원,(34675) 대전광역시 동구 옥천로 177 2층 (판암동),042-710-7585
452,서재형내과의원,(35036) 대전광역시 중구 대종로 218 (석교동),042-272-0001
453,서정수재활의학과의원,(34892) 대전광역시 중구 동서대로 1218 6층 (태평동),042-522-0017
454,선내과의원,(35402) 대전광역시 서구 계백로 1442 3층 (도마동),042-583-7898
455,선사내과의원,"(35214) 대전광역시 서구 청사로 121 지하1,지상2층 (월평동)",042-486-5471
456,선사성형외과의원,(35214) 대전광역시 서구 청사로 121 (월평동),042-486-1654
457,선사소아청소년과의원,(35214) 대전광역시 서구 청사로 121 (월평동),042-483-5525
458,선사신경외과의원,(35220) 대전광역시 서구 청사서로 10 1층 (월평동),042-472-9975
459,선사여성의원,(35220) 대전광역시 서구 청사서로 14 4층 (월평동),042-482-7722
460,선사영상의학과의원,(35214) 대전광역시 서구 청사로 121 3층 (월평동),042-486-5475
461,선산부인과의원,"(34176) 대전광역시 유성구 계룡로 24 (구암동, 선산부인과)",042-825-5566
462,설여성의원,(35230) 대전광역시 서구 대덕대로 203 7층 (둔산동),042-483-0009
463,성내과의원,(34139) 대전광역시 유성구 어은로48번길 1 (어은동),042-861-6831
464,성누가재활의학과의원,"(35304) 대전광역시 서구 계룡로 650 2,4층 (용문동)",042-525-5553
465,성모가정의원,(34938) 대전광역시 중구 보문로 170 1층 (대흥동),042-221-5525
466,성모가정의학과의원,(35076) 대전광역시 중구 대종로 63 1층 (옥계동),042-300-8275
467,성모내과의원,(35281) 대전광역시 서구 신갈마로 118 1층 (갈마동),042-523-1548
468,성모내과의원,(34311) 대전광역시 대덕구 신탄진로 814 (신탄진동),042-932-7575
469,성모눈빛안과의원,"(34553) 대전광역시 동구 동서대로 1629-6 3층 (홍도동, 하나은행)",042-638-5050
470,성모마취통증의학과의원,(35033) 대전광역시 중구 대종로 302 3층 (문창동),042-285-7555
471,성모비뇨기과의원,"(34086) 대전광역시 유성구 노은로 170 (지족동,스타시티)",042-477-6250
472,성모성형외과의원,(35264) 대전광역시 서구 계룡로 605 8층 (탄방동),042-533-0533
473,성모수마취통증의학과의원,(34318) 대전광역시 대덕구 석봉로37번길 62 3층 (석봉동),042-671-6711
474,성모안과의원,"(34171) 대전광역시 유성구 유성대로 770 (장대동, SM클리닉 3층,8층)",042-823-0975
475,성모영상의학과의원,(34634) 대전광역시 동구 보문로 4 3층 (효동),042-274-9885
476,성모외과의원,(34230) 대전광역시 유성구 진잠로78번길 70 (원내동),042-543-7582
477,성모윌마취통증의학과의원,"(35382) 대전광역시 서구 구봉로131번길 49 3층 304,305호 (관저동)",042-719-7507
478,성모의원,"(35003) 대전광역시 중구 산성로 108-19 203호 (문화동, 주공3단지상가)",042-582-3711
479,성모자애산부인과의원,(34379) 대전광역시 대덕구 대전로1177번길 63-8 (오정동),042-628-7755
480,성모재활의학과의원,(34069) 대전광역시 유성구 반석로 28 (반석동),042-826-0975
481,성모정신건강의학과의원,(34628) 대전광역시 동구 대전로 779 (원동),042-254-7271
482,성모정신건강의학과의원,(34892) 대전광역시 중구 동서대로 1218 3층 (태평동),042-536-7533
483,성모정형외과마취통증의학과의원,"(34849) 대전광역시 중구 동서대로 1388 117,117-1,148-3호 (목동, 금호한사랑아파트)",042-223-3375
484,성모척척마취통증의학과의원,(34966) 대전광역시 중구 계백로 1600 4.5층 (유천동),042-524-7779
485,성모플러스연합의원,(34695) 대전광역시 동구 동구청로 89-2 제이타워 8~10층 (가오동),042-272-2000
486,성모피부과의원,(34832) 대전광역시 중구 중앙로 165 (은행동),042-252-3333
487,성모훼밀리의원,(35404) 대전광역시 서구 복수북로 42 2층 (복수동),042-586-7676
488,성민내과의원,(35271) 대전광역시 서구 대덕대로167번길 5 3층 (갈마동),042-524-5930
489,성범진피부과의원,(34973) 대전광역시 중구 계백로 1592 (유천동),042-581-2375
490,성비뇨기과의원,"(34311) 대전광역시 대덕구 신탄진로 790 2층 (신탄진동, 은혜크리닉)",042-933-1383
491,성시경내과의원,"(35209) 대전광역시 서구 청사로 228 201호 (둔산동, 청사오피스텔)",042-472-7766
492,성심내과의원,(34388) 대전광역시 대덕구 중리로75번길 22-24 1층 (중리동),042-623-0062
493,성심소아과의원,(34973) 대전광역시 중구 계백로 1596 (유천동),042-585-2420
494,성애참의원,(34227) 대전광역시 유성구 원내로 57 3층 (원내동),042-543-8196
495,세계로내과의원,"(34145) 대전광역시 유성구 한밭대로 138 3층 전체호 (노은동, 노블레스)",042-721-0875
496,세계영상의학과의원,(34909) 대전광역시 중구 계백로 1731 제일가구프라자 2층 (오류동),042-254-1113
497,세광의원,"(35244) 대전광역시 서구 둔산북로 215 307호 (둔산동, 가람아파트상가)",042-482-6764
498,세느산부인과의원,(35268) 대전광역시 서구 계룡로 550 4층 (괴정동),042-522-7522
499,세란의원,(34998) 대전광역시 중구 문화로 172 (문화동),042-582-6480
500,세란의원,"(35404) 대전광역시 서구 복수서로 50 201,202호 (복수동, 삼익목화B상가)",042-585-2509
501,세림소아청소년과의원,(34209) 대전광역시 유성구 학하서로20번길 21 201호 (계산동),042-528-8275
502,세브란스내과의원,(34418) 대전광역시 대덕구 비래동로 20 (비래동),042-631-3330
503,세브란스산부인과의원,(35263) 대전광역시 서구 문정로 88 2~8층 (탄방동),042-485-3091
504,세브란스소아청소년과의원,(35334) 대전광역시 서구 도산로 119 (도마동),042-525-2560
505,세브란스의원,"(34811) 대전광역시 중구 목중로 53 2,3층 (목동)",042-254-5530
506,세이브외과의원,(34908) 대전광역시 중구 계룡로 832 2층 (오류동),042-536-7771
507,세이연합내과의원,(34910) 대전광역시 중구 계백로 1683 2층 (오류동),042-537-0075
508,세이유외과의원,"(35241) 대전광역시 서구 둔산중로 50 파이낸스빌딩 1601~1604,1701호 (둔산동)",042-488-6075
509,세이유외과의원,(35241) 대전광역시 서구 둔산중로 50 402호 (둔산동),042-488-6075
510,세이유외과의원,"(34909) 대전광역시 중구 계백로 1711-1 6층 (오류동, 한밭크리닉)",042-534-6075
511,세이플러스이비인후과의원,(34910) 대전광역시 중구 계백로 1683 3층 (오류동),042-524-7582
512,세인연합의원,"(35402) 대전광역시 서구 계백로 1436 4,5층 (도마동)",042-582-0275
513,세인트의원,(34071) 대전광역시 유성구 지족로 373 한남대학교 지족빌딩 (지족동),042-485-5777
514,세일플러스의원,"(35065) 대전광역시 중구 대종로 169 1,2,3층 (석교동)",042-637-7575
515,세종가정의학과의원,"(35363) 대전광역시 서구 관저북로 15 2,3층 201,202,203,302,303호 (관저동, D&A프라자)",042-542-6597
516,세종영상의학과의원,"(35402) 대전광역시 서구 계백로 1436 1,2층 (도마동)",042-584-1785
517,세종정신과의원,(34836) 대전광역시 중구 보문로 298 (선화동),042-256-2181
518,세형정형외과의원,(34317) 대전광역시 대덕구 석봉로3번길 35 (석봉동),042-931-1826
519,센트럴비뇨기과의원,(34909) 대전광역시 중구 계룡로 876 5층 501호 (오류동),042-716-6060
520,소망내과의원,(35270) 대전광역시 서구 갈마중로 11 1층 (갈마동),042-523-1801
521,소망연합내과의원,"(35300) 대전광역시 서구 계룡로 628 3층,4층 (용문동)",042-536-0550
522,소망의원,(34603) 대전광역시 동구 계족로 255 (소제동),042-637-8275
523,소망정신건강의학과의원,"(34838) 대전광역시 중구 중앙로137번길 31 지하1,1,3~5층 (선화동)",042-255-6777
524,소중한배내과의원,(34675) 대전광역시 동구 옥천로 183 판암퍼스트타워 5층 509~514호 (판암동),042-271-0075
525,소중한빛안과의원,(35264) 대전광역시 서구 계룡로 605 201호 (탄방동),042-524-7588
526,속튼튼내과의원,(34637) 대전광역시 동구 동대전로46번길 11 3층 (대동),042-334-1007
527,속편한내과의원,"(35240) 대전광역시 서구 둔산중로 74 6층 (둔산동, 인곡타워)",042-476-4600
528,손정형외과의원,(34941) 대전광역시 중구 보문로 239 (대흥동),042-255-9912
529,솔마음정신건강의학과의원,(34914) 대전광역시 중구 대종로 485 2층 (대흥동),042-223-7582
530,송강내과의원,(34009) 대전광역시 유성구 구즉로 72 (송강동),042-935-3138
531,송강복음내과의원,"(34009) 대전광역시 유성구 봉산로 1 (송강동, 화인빌딩 3층)",042-935-8275
